"","X","Data.Measurement.Year","Census.Tract.Code","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size"
"300",1,"1990-2000",101,0.359918902299568,-0.166715734874023,0.282203281225243,-0.322548458438628,-0.346156570378357,1.40645835078599,0.0968950351036601,4.59798185288783,12.2491846094642,1.22480042314311,0.186870562475252,0.0460910111814499,0.0504197647778666,-0.352283793797122,-0.190029022715867,1.10880239312098,0.0481852144746531,4.37260433994164,2.35419268631889,-0.189233322711305,1.20151969985202,0.113335480236868,6.71641687997371,2.25650627969284,-0.253803094802694,1.14374141519251,0.0204647936177593,0.275580992022199,3.59209157127992,0.0298193154152164,0.0821351319695112,0.0756005650445375
"599",2,"2000-2010",101,-0.0634076606114529,0.0029997045268424,0.0744946679809804,-0.0071929119050894,-0.229444956488212,0.377481412946237,-0.179811619214662,-0.0218306189410975,-0.178185888674176,1.3416684311862,0.0200215002789837,-0.0902124590426795,-0.158774668492359,1.71077393908165,-0.152197930779498,0.315321580989497,0.048741658722593,0.381101074771858,1.29412237845567,-0.0694499308076125,0.0970076809303544,-0.0778140068886337,0.152582805310596,1.30546498277842,-0.555453414486272,0.522710588914874,0.0797752808988764,2.34730337078652,0.619662921348314,0.38646761877241,-0.0617468776158704,0.0130212865580989
"301",3,"1990-2000",102,0.211047253879316,-0.215980981590274,0.363072334685443,-0.248670492575299,-0.30118106364111,2.57952797336599,-0.0897954136690646,3.75320512820513,5.50146133093525,1.12891888324203,0.103781110696651,0.0201427844998541,0.0150824197704616,-0.124168621955228,-0.176691638569923,2.58082007943273,-0.261258966017325,3.56036672926102,0.402100329803854,-0.147227179535674,2.63456614509246,-0.227951635846373,3.2225106685633,0.652075520496573,-0.379352226720648,2.78518518518519,-0.251282051282051,6.90833333333333,-0.594444444444444,0.0591239316239316,0.0659838839490725,0.0626055056874991
"600",4,"2000-2010",102,-0.0690409471288453,0.0846988089163316,-0.0287627187189097,0.0421086263882385,-0.234811910033467,0.725938307817586,-0.0264828189975926,-0.128036769533815,-0.475798440998704,0.460275771503611,0.0424690092936539,-0.178154052031578,-0.216024275116537,1.09517828085301,-0.173404347793223,0.826130978026713,0.346592191378921,0.0917087368637956,1.16692996313849,-0.0996079839602597,0.587813353189377,0.64284323271665,0.141441008385408,0.744849838669645,-0.216131780744107,0.306447032093155,-0.343936381709742,-0.00902278635877052,6.15705765407555,0.0140043392077579,-0.0393583070958897,-0.00434055918561922
"302",5,"1990-2000",300,0.0569725455349714,-0.140904576523367,0.392142618022937,-0.322914661119225,-0.19943297324383,3.3698343022904,0.0198075474500568,5.22811037906999,-0.0166141506731595,0.261702599136324,0.0641607356935824,0.0136361985691977,-0.00713725524116302,0.069432111142939,-0.12686297910133,2.77563434132777,-0.197080291970803,4.01824817518248,2.01094890510949,-0.106140254190584,3.03131597466573,-0.229885057471264,3.35665024630542,2.46551724137931,-0.309640522875817,2.49436090225564,0.111842105263158,Inf,1.22368421052632,0.205653782894737,-0.00793765448660051,0.0133254860315897
"601",6,"2000-2010",300,-0.14698085507865,-0.0105654918233708,-0.014951418551475,0.329433238785587,-0.0600510928034114,0.164734339811494,0.178807797937959,-0.227915360414904,0.100220611408761,1.2489803674385,0.158227284862508,-0.0462217022027132,-0.0748065300816556,0.67246179148056,-0.0388781037419464,0.213399337405925,0.0363086232980334,-0.253857791225416,0.151454025886704,0.00263196162353338,-0.075496502183201,0.0865298840321142,-0.209796447976644,-0.0686886708296165,-0.259701492537313,0.512437810945274,-0.243781094527363,-0.495854063018242,0.512437810945274,0.148493842029048,-0.0847147744354753,-0.0566473006667786
"303",7,"1990-2000",601,0.0294909435223214,-0.109231357239308,0.370222288596241,-0.221578231672003,-0.142869344886093,7.29392279211382,-0.154534528940152,2.53495968575563,2.8122114258149,3.07879963741035,0.28650673525054,0.00263257122491188,-0.0209355250501664,0.0930420652849603,-0.0816740856592878,6.65182868142445,0.192492781520693,2.27350959633131,10.9249278152069,-0.0449721608598483,2.46897163120567,0.081237911025145,2.55156619385343,9.90248226950355,-0.248157041155904,13.0725388601036,0.340241796200345,1.61347150259067,12.0673575129534,0.0418584316528911,-0.0728489658160588,-0.0525095463899779
"602",8,"2000-2010",601,-0.0404025908602367,0.0796874999999999,-0.0323096929078722,-0.0114272060690232,-0.0368977144998127,0.359949809421906,-0.507052301169948,-0.283170560253339,-0.242012889071713,0.47547393014521,0.037672847602637,-0.0268559816565536,-0.0400852022782349,0.16431588487222,-0.0333900251479075,0.569956623116101,-0.392092945503176,-0.125358217509672,0.86714309595453,-0.0188605202077002,0.529837251356239,-0.464556962025316,-0.0536355607889314,1.23912543153049,-0.0743891339354476,0.431849551414769,-0.378421900161031,-0.354515050167224,0.434410999628391,0.0431434447792605,-0.0137767841005696,-0.000305114875643698
"304",9,"1990-2000",603,0.0588781989307036,-0.109306349734201,0.383237337965358,-0.217286192405556,-0.0618091851996345,4.67889305816135,1.17134146341463,3.6141006097561,Inf,1.07264412416851,0.374864785289106,0.00928791216928393,0.00987186928816472,-0.19083159054917,-0.0318507846808711,4.38695878977569,1.35679447052686,1.52513693270735,1.35679447052686,-0.0272812720671828,3.33662581699347,1.00151960784314,1.33510620915033,2.50265931372549,-0.14634131986746,Inf,Inf,2.66277777777778,-1,-0.0838722518909094,-0.0705060885476113,-0.0706768384873966
"603",10,"2000-2010",603,-0.0490834031390899,0.101117289403939,0.0198718816626347,-0.07583794182628,-0.0359257911967989,0.208075663877774,-0.290069116042197,0.109639869043288,2.04256093124773,1.10886498409234,0.108639693437851,-0.026442193933084,-0.0350637913226299,0.84563756189802,-0.0105771682601932,0.0281576830249396,-0.412481323985749,0.0795655671761865,0.909435697046317,-0.0121094342748525,-0.187628592287781,-0.295944779982744,0.357820781461851,0.810427708615802,0.0811688311688312,0.285714285714286,-1,-0.678571428571429,Inf,0.140926640926641,0.00511586965426494,0.0122773739839655
